Restaurant,Menu Header,Menu Item,Rate,What people love here
12 e,Main Course - Veg,Dal Makhani,150,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Butter Paneer Masala,190,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Paneer Tikka Masala,200,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Kadai Paneer,190,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Paneer Do Pyaza,190,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Kaiju Makhani,240,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Kadai Veg,160,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Sev Tamatai,160,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Lahsuiti Palak,170,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Mushroom Mutter Masala,170,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Corn Palak,170,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Dum Aloo,160,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Paneer Bhurji,190,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Veg Makhani Kofta,180,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Veg Malai Kofta,180,"Butter Chicken, Chicken Biryani"
12 e,Main Course - Veg,Bhindi Masala,170,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Bullei Chicken SD SPECIAL,250,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Chicken Regan jush,260,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Chicken Home Made Style,250,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Kadai Chicken,260,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Chicken Tikka Masala,260,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Mutton Kogan Josh,280,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Mutton Korma Mughlai Style,280,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,Egg Cuny,180,"Butter Chicken, Chicken Biryani"
12 e,Main Course-Non Veg,F.gg Bhurji,160,"Butter Chicken, Chicken Biryani"
12 e,Rice - Veg,Basinati Steam Riee,120,"Butter Chicken, Chicken Biryani"
12 e,Rice - Veg,Jeera Rico,140,"Butter Chicken, Chicken Biryani"
12 e,Rice - Veg,Butter Khichdi SD SPECIAL,160,"Butter Chicken, Chicken Biryani"
12 e,Rice - Veg,Veg Biryani,160,"Butter Chicken, Chicken Biryani"
12 e,Extras,Green Salad,40,"Butter Chicken, Chicken Biryani"
12 e,Extras,Onion Salad,25,"Butter Chicken, Chicken Biryani"
12 e,Extras,Fry/Roasted Papad,20,"Butter Chicken, Chicken Biryani"
12 e,Extras,Pry/Knasted Masala Papad,25,"Butter Chicken, Chicken Biryani"
12 e,Extras,Gulab Jaiuun 2 Pcs.,60,"Butter Chicken, Chicken Biryani"
12 e,Extras,Package Drinking Bottle,20,"Butter Chicken, Chicken Biryani"
12 e,Extras,Cold Dr ink 7 50 ml (ANY),50,"Butter Chicken, Chicken Biryani"
12 e,Rice - Non Veg,Chicken Biryani ,180,"Butter Chicken, Chicken Biryani"
12 e,Rice - Non Veg,Mutton Biryani,500,"Butter Chicken, Chicken Biryani"
12 e,Rice - Non Veg,Egg Biryani ,150,"Butter Chicken, Chicken Biryani"
12 e,Veg Chineese,Chilly Paneer,190,"Butter Chicken, Chicken Biryani"
12 e,Veg Chineese,Cliilly Mushioom,180,"Butter Chicken, Chicken Biryani"
12 e,Veg Chineese,Veg. Manchurian,170,"Butter Chicken, Chicken Biryani"
12 e,Veg Chineese,Veg.Nooilels,170,"Butter Chicken, Chicken Biryani"
12 e,Veg Chineese,Veg. Fried Rice,170,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Chineese,Chilly Chicken ,240,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Chineese, Chicken Lollypop,260,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Chineese,Chicken 65,240,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Chineese,Chicken Noodles,180,"Butter Chicken, Chicken Biryani"
12 e,Non Veg Chineese,Chicken Fried Rice,180,"Butter Chicken, Chicken Biryani"
Alol,Soups,Hot & Sour,130,Fish Tikka
Alol,Soups,MANCHOW SOUP,125,Fish Tikka
Alol,Soups,TOMATO SOUP,135,Fish Tikka
Alol,Soups,SWEET CORN SOUP,125,Fish Tikka
Alol,Soups,LEMON CORIANDER SOUP,125,Fish Tikka
Alol,Soups,VEGETABLE SOUP,105,Fish Tikka
Alol,Soups,CHICKEN HOT & SOUR,170,Fish Tikka
Alol,Soups,CHICKEN MANCHOW SOUP,170,Fish Tikka
Alol,Soups,CHICKEN SWEET CORN SOUP,170,Fish Tikka
Alol,Soups,CHICKEN CLEAR SOUP,160,Fish Tikka
Alol,Soups,CREAM OF CHICKEN,180,Fish Tikka
Alol,Soups,CHICKEN LEMON CORIANDER SOUP,170,Fish Tikka
Alol,Soups,CHICKEN BUCK PEPPER SOUP,170,Fish Tikka
Alol,Vegetarian,GREEN SALAD,80,Fish Tikka
Alol,Vegetarian,ONION SALAD,60,Fish Tikka
Alol,Vegetarian,TOSSED SALAD,80,Fish Tikka
Alol,Vegetarian,COLESLAW SALAD,120,Fish Tikka
Alol,Non Vegetarian,RUSSIAN SALAD,120,Fish Tikka
Alol,Non Vegetarian,CHICKEN MAYO SALAD,160,Fish Tikka
Alol,Non Vegetarian,CHICKEN TANDOORI SALAD,180,Fish Tikka
Alol,Non Vegetarian,CHICKEN COLESLAW SALAD,170,Fish Tikka
Alol,Non Vegetarian,CHICKEN ORIENTAL SALAD,190,Fish Tikka
Alol,Beverages,TEA,30,Fish Tikka
Alol,Beverages,HOT COFFEE,40,Fish Tikka
Alol,Beverages,FRESH LIME WATER,60,Fish Tikka
Alol,Beverages,FRESH LIME SODA,70,Fish Tikka
Alol,Beverages,COLD COFFEE,120,Fish Tikka
Alol,Beverages,LEMON ICE TEA,80,Fish Tikka
Alol,Beverages,MOJITO,120,Fish Tikka
Alol,Beverages,AERATED DRINK 500 ml,90,Fish Tikka
Alol,Beverages,MINERAL WATER BOTTLE,40,Fish Tikka
Alol,Beverages,SODA,60,Fish Tikka
Alol,Beverages,RED BULL,150,Fish Tikka
Alol,Beverages,CANNED JUICE ( orange / pineapple / mango / mix fruit >,80,Fish Tikka
Alol,Beverages,LASSI,70,Fish Tikka
Alol,Beverages,BUTTERMILK,80,Fish Tikka
Alol,Sides,Plain Pappad (Fried / Roastd - 2 Pcs ),40,Fish Tikka
Alol,Sides,Channa Pappad ( Fried /Roasted 2Pcs),40,Fish Tikka
Alol,Sides,Masala Pappad ( Fried /Roasteo -2Pcs),50,Fish Tikka
Alol,Sides,Peanut Salted,75,Fish Tikka
Alol,Sides,French Fries,125,Fish Tikka
Alol,Sides,Peanut Garlic,125,Fish Tikka
Alol,Sides,Peanut Chat,155,Fish Tikka
Alol,Sides,Veg Pakora,150,Fish Tikka
Alol,Sides,Channa Roasted ( Served With Onion & Tomatoes),130,Fish Tikka
Alol,Vegetarian,Paneer Tikka Roll,170,Fish Tikka
Alol,Vegetarian,Chilly  Paneer Roll,190,Fish Tikka
Alol,Vegetarian,Veg Kathi Roll,190,Fish Tikka
Alol,Non Vegetarian,Chilly Chicken Roll,250,Fish Tikka
Alol,Non Vegetarian,Chicken Tikka Roll,250,Fish Tikka
Alol,Non Vegetarian,Butter Chicken Roll,250,Fish Tikka
Alol,Non Vegetarian,Chicken Tandoori Roll,150,Fish Tikka
Alol,Non Vegetarian,Egg Roll,150,Fish Tikka
Alol,vegetarian,Veg Bombay kacha,80,Fish Tikka
Alol,vegetarian,Paneer Tikka sandwich,130,Fish Tikka
Alol,vegetarian,Veg Grilled Sandwich,90,Fish Tikka
Alol,Non vegetarian,Chicken Tikka Sandwich,150,Fish Tikka
Alol,Non vegetarian,Chicken Coleslow Sandwich,130,Fish Tikka
Alol,Non vegetarian,Chicken Mayo Sandwich,150,Fish Tikka
Alol,Non vegetarian,Chicken Tandoori sandwich,160,Fish Tikka
Alol,Starters,DAHI SEEKH KEBAB,225,Fish Tikka
Alol,Starters,ALOO BANJARA TIKKA,205,Fish Tikka
Alol,Starters,DAHI KEBAB,205,Fish Tikka
Alol,Starters,CORN MALAI KEBAB,220,Fish Tikka
Alol,Starters,TANDOORI MUSHROOM,225,Fish Tikka
Alol,Starters,SNACKS PLATTER,390,Fish Tikka
Alol,Starters,SHOLE KEBAB,210,Fish Tikka
Alol,Starters,PANEER TIKKA,290,Fish Tikka
Alol,Starters,PANEER MALAI TIKKA,290,Fish Tikka
Alol,Starters,PANEER PUDINATIKKA,290,Fish Tikka
Alol,Starters,PANEER TIRANAGA,260,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Murg Achari Tikka,290,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Lahori Wings Kebab,290,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Afganitangdi Kebab,310,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Murgh Hazari Kebab,290,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Murgh Kerela Kebab,320,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Chicken Tiranga,350,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Chicken Pottmeri Tikka,290,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Chicken Boati,290,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Lucknowiseekh Kebab,290,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Mutton Seekh Kebab,320,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Mutton Boati Kebab,320,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),Mutton Shami Kebab,340,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),FISH FRY-TARTAR SAUCE,340,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),FISH TIKKA,340,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),FISH AKBARI,360,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),FISH AJWAINI TIKKA,340,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),FISH FINGER WITH TARTAR SAUCE,340,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),FISH GARLIC TIKKA,390,Fish Tikka
Alol,INDIAN NON VEGETARIAN (TANDOOR SNACKS),SNACKS PLATTER,590,Fish Tikka
Alol,VEGETARIAN,CHILLY PANEER DRY,240,Fish Tikka
Alol,VEGETARIAN,VEGETABLE MANCHURIAN DRY,210,Fish Tikka
Alol,VEGETARIAN,CRISPY CORN,260,Fish Tikka
Alol,VEGETARIAN,VEG SPRING ROLL,230,Fish Tikka
Alol,VEGETARIAN,CHILLY MUSHROOMS,230,Fish Tikka
Alol,VEGETARIAN,VEGKOTHE,210,Fish Tikka
Alol,VEGETARIAN,CHEESE MEXICAN ROLL,280,Fish Tikka
Alol,VEGETARIAN,CHILLY BABY CORN,250,Fish Tikka
Alol,VEGETARIAN,PANEER SCHEZWAN,240,Fish Tikka
Alol,VEGETARIAN,PANEER BELL PAPER,250,Fish Tikka
Alol,VEGETARIAN,PANEER 65,240,Fish Tikka
Alol,VEGETARIAN,PANEER KALIMIRCH,250,Fish Tikka
Alol,VEGETARIAN,CHEESE POTATO ROLL,230,Fish Tikka
Alol,VEGETARIAN,BABY CORN SALT PEPPER - CHEF'S SPECIAL,250,Fish Tikka
Alol,VEGETARIAN,VEG BULLET,250,Fish Tikka
Alol,VEGETARIAN,CRICKLING SPINCH WITH CRISPY POTATO,250,Fish Tikka
Alol,VEGETARIAN,SCHEZWAN CHEESE POTATO,250,Fish Tikka
Alol,VEGETARIAN,CHEESE FINGER ROLL,250,Fish Tikka
Alol,NON-VEGETARIAN,CHILLY CHICKEN DRY,290,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN 65,290,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN MANCHURIAN DRY,280,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN LOLLYPOP,320,Fish Tikka
Alol,NON-VEGETARIAN,CRISPY CHICKEN,290,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN SPRING ROLL,290,Fish Tikka
Alol,NON-VEGETARIAN,SWEET AND SPICY CHICKEN DRUMSTICKS,320,Fish Tikka
Alol,NON-VEGETARIAN,HONEY GLAZED CHICKEN,340,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN DRAGON,320,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN BELL PEPPER,290,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN PLUMS,320,Fish Tikka
Alol,NON-VEGETARIAN,CRISPY CHICKEN IN CHILLY HONEY SAUCE,340,Fish Tikka
Alol,NON-VEGETARIAN,CHICKEN MAKHMALI,320,Fish Tikka
Alol,VEGETARIAN,MALAIKOFTA (WHITE/ RED GRAVY),,Fish Tikka
Alol,VEGETARIAN,MIXVEG,,Fish Tikka
Alol,VEGETARIAN,VEG KOFTA,,Fish Tikka
Alol,VEGETARIAN,GOBHI ALOO,,Fish Tikka
Alol,VEGETARIAN,CHANAPINDI MASALA,,Fish Tikka
Alol,VEGETARIAN,KAJU CURRY,,Fish Tikka
Alol,VEGETARIAN,KADAIVEG,,Fish Tikka
Alol,VEGETARIAN,DUM ALOO MAHARANI,,Fish Tikka
Alol,VEGETARIAN,CORN PALAK,,Fish Tikka
Alol,VEGETARIAN,MUSHROOM MASALA,,Fish Tikka
Alol,VEGETARIAN,PALAK MUSHROOM,,Fish Tikka
Alol,VEGETARIAN,PALAK KOFTA,,Fish Tikka
Alol,VEGETARIAN,NAVRATAN KORMA,210,Fish Tikka
Alol,VEGETARIAN,PANEER MUSHROOM,260,Fish Tikka
Alol,VEGETARIAN,MUTTER PANEER,250,Fish Tikka
Alol,VEGETARIAN,PANEER BHURJI,250,Fish Tikka
Alol,VEGETARIAN,METHI MATAR MALAI,210,Fish Tikka
Alol,VEGETARIAN,MUSHROOM MUTTER,240,Fish Tikka
Alol,VEGETARIAN,BUTTER PANEER MASALA,260,Fish Tikka
Alol,VEGETARIAN,PANEER TIKKA MASALA,260,Fish Tikka
Alol,VEGETARIAN,CORN PANEER MAKHANI,260,Fish Tikka
Alol,VEGETARIAN,PANEER DO PYAAZA,260,Fish Tikka
Alol,VEGETARIAN,PANEER PASANDA,260,Fish Tikka
Alol,VEGETARIAN,PANEER KADHAI,260,Fish Tikka
Alol,VEGETARIAN,SHAHI PANEER,260,Fish Tikka
Alol,VEGETARIAN,PALAK PANEER,260,Fish Tikka
Alol,NON VEGETARIAN,BUTTER CHICKEN,350,Fish Tikka
Alol,NON VEGETARIAN,PUNJABI CHICKEN CURRY,310,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN LABABDAAR,320,Fish Tikka
Alol,NON VEGETARIAN,KAOAI CHICKEN,310,Fish Tikka
Alol,NON VEGETARIAN,MURGH TIKKA MASALA,320,Fish Tikka
Alol,NON VEGETARIAN,METHI MURGH,310,Fish Tikka
Alol,NON VEGETARIAN,MURGH DO PYAAZA,310,Fish Tikka
Alol,NON VEGETARIAN,NAWABI MURGH,350,Fish Tikka
Alol,NON VEGETARIAN,METHI MALAI CHICKEN,340,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN RARA,350,Fish Tikka
Alol,NON VEGETARIAN,EGG CURRY,210,Fish Tikka
Alol,NON VEGETARIAN,EGG BHURJI,160,Fish Tikka
Alol,NON VEGETARIAN,MUTTON ROGAN JOSH,340,Fish Tikka
Alol,NON VEGETARIAN,RARA MUTTON,350,Fish Tikka
Alol,NON VEGETARIAN,MUTTON KEEMA,350,Fish Tikka
Alol,NON VEGETARIAN,PUNJABI MUTTON CURRY,350,Fish Tikka
Alol,NON VEGETARIAN,BHUNA MUTTON,360,Fish Tikka
Alol,NON VEGETARIAN,PALAK MUTTON,340,Fish Tikka
Alol,NON VEGETARIAN,MUTTON DO PYAAZA,340,Fish Tikka
Alol,NON VEGETARIAN,FISH CURRY,340,Fish Tikka
Alol,NON VEGETARIAN,MACNI RAI TOMATO,350,Fish Tikka
Alol,Dal,DALMAKHANI,200,Fish Tikka
Alol,Dal,DALPALAK,160,Fish Tikka
Alol,Dal,DAL FRY,160,Fish Tikka
Alol,Dal,DAL NAWABI,200,Fish Tikka
Alol,Indian Breads,TANDOORI PLAIN ,20,Fish Tikka
Alol,Indian Breads,TANDOORIROTI BUTTER ,25,Fish Tikka
Alol,Indian Breads,TAWAROTI ,15,Fish Tikka
Alol,Indian Breads,TAWA ROTI BUTTER,20,Fish Tikka
Alol,Indian Breads,TAWA PARATHA / MISSI ROTI / ROOMALI ROTI ,30,Fish Tikka
Alol,Indian Breads,NAAN,30,Fish Tikka
Alol,Indian Breads,BUTTER NAAN ,35,Fish Tikka
Alol,Indian Breads,GARLIC NAAN ,50,Fish Tikka
Alol,Indian Breads,CHEESE NAAN,60,Fish Tikka
Alol,Indian Breads,CHEESE CHILLY GARLIC NAAN ,70,Fish Tikka
Alol,Indian Breads,LACCHEDAAR PARATHA ,30,Fish Tikka
Alol,Indian Breads,BREADBASKET,200,Fish Tikka
Alol,Choice Of Curd,PLAIN CURD,80,Fish Tikka
Alol,Choice Of Curd,PINEAPPLE RAITA / FRUIT RAITA ,160,Fish Tikka
Alol,Choice Of Curd,BOONDIRAITA / VEG RAIT,140,Fish Tikka
Alol,Choice Of Curd,ALOO PUDINA RAITA,130,Fish Tikka
Alol,Vegetarian,KASHMIRI PULAO,140,Fish Tikka
Alol,Vegetarian,VEG PULAO,170,Fish Tikka
Alol,Vegetarian,PEAS PANEER PULAO,180,Fish Tikka
Alol,Vegetarian,VEG BIRYANI,200,Fish Tikka
Alol,Vegetarian,CURD RICE,180,Fish Tikka
Alol,Vegetarian,JEERA PULAO,150,Fish Tikka
Alol,Vegetarian,STEAMED RICE,140,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN BIRYANI,300,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN HYDERABADI BIRYANI,300,Fish Tikka
Alol,NON VEGETARIAN,MUTTON HYDERABADI BIRYANI,350,Fish Tikka
Alol,NON VEGETARIAN,FISH BIRYANI,340,Fish Tikka
Alol,NON VEGETARIAN,EGG BIRYANI,250,Fish Tikka
Alol,VEGETARIAN,VEG FRIEO RICE,190,Fish Tikka
Alol,VEGETARIAN,SCHEAVAN FRIEO RICE,190,Fish Tikka
Alol,VEGETARIAN,TOMATO AND MUSHROOM FRIED RICE,190,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN FRIED RICE,250,Fish Tikka
Alol,NON VEGETARIAN,EGG FRIED RICE,200,Fish Tikka
Alol,NON VEGETARIAN,CHEF SPECIAL B.B.M RICE,300,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN SCHEZWAN FRIED RICE,250,Fish Tikka
Alol,VEGETARIAN,VEG HAKKA NOODLES,200,Fish Tikka
Alol,VEGETARIAN,SCHEAVAN NOODLES,200,Fish Tikka
Alol,VEGETARIAN,VEGETABLE CHOPSUEY,200,Fish Tikka
Alol,VEGETARIAN,VEGETABLE CHOWMEIN,200,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN NOODLES,230,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN CHOWMEIN,230,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN CHOPSUEY,230,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN SCHEZWAN NOODLES,230,Fish Tikka
Alol,VEGETARIAN,BAKED VEG,250,Fish Tikka
Alol,VEGETARIAN,BAKED SPINACH & MUSHROOM,270,Fish Tikka
Alol,NON VEGETARIAN,BAKED CHICKEN,320,Fish Tikka
Alol,NON VEGETARIAN,FISH CHIPS,350,Fish Tikka
Alol,VEGETARIAN,VEG STEAK SIZZLERS,250,Fish Tikka
Alol,NON VEGETARIAN,CHICKEN STEAK SIZZLERS,300,Fish Tikka
Alol,DESSERTS,GULAAB JAMUN,60,Fish Tikka
Alol,DESSERTS,MOONG DAALHALWA-SEASONAL,80,Fish Tikka
Alol,DESSERTS,GAJAR KA HALWA - SEASONAL,70,Fish Tikka
Alol,DESSERTS,SHAHI TUKDA,90,Fish Tikka
Alol,DESSERTS,VANILLA ICE CREAM,60,Fish Tikka
Alol,DESSERTS,BUTTERSCOTCH ICE CREAM,60,Fish Tikka
Alol,DESSERTS,CHOCOLATE ICE CREAM,60,Fish Tikka
Alol,DESSERTS,PAAN ICECREAM,60,Fish Tikka
Alol,DESSERTS,TUTI FRUITY ICECREAM,120,Fish Tikka
Alol,DESSERTS,SIZZLING BROWNIE WITH ICECREAM,180,Fish Tikka
Alol,DESSERTS,CRISPY DARSEU WITH ICECREAM,180,Fish Tikka
Apn),Main Course,Paneer Butter Masala,140,
Apn),Combos,Chicken Curry with 4 Roti Combo,220,
Apn),Combos,Butter Chicken with 4 Roti Combo,240,
Apn),Breads,Tawa Roti,10,
Apn),Breads,Tandoori Roti,10,
Apn),Breads,Butter Naan,30,
Apn),Combos,Veg Fried Rice Noodles Combo,160,
Apn),Combos,Veg Rice Manchurian Combo,160,
Apn),Combos,Egg Curry with 4 Roti Combo,180,
Apn),Combos,Chicken Curry with 4 Roti Combo,220,
Apn),Combos,Butter Chicken with 4 Roti Combo,240,
Apn),Combos,Mutton Curry with 4 Roti Combo,280,
Apn),Combos,Fish Curry with 4 Roti Combo,280,
Apn),Veg Soups,Tomato Soup,50,
Apn),Veg Soups,Veg Hot and Sour Soup,50,
Apn),Veg Soups,Veg Munchow Soup,50,
Apn),Veg Soups,Lemon Coriander Soup,80,
Apn),Non Veg Soups,Chicken Hot and Sour Soup,70,
Apn),Non Veg Soups,Chicken Clear Soup,80,
Apn),Non Veg Soups,Chicken Manchow Soup,90,
Apn),Veg Tandoori Starters,Paneer Tikka,160,
Apn),Veg Tandoori Starters,Paneer Malai Tikka,170,
Apn),Veg Tandoori Starters,Paneer Kali Mirch Tikka,170,
Apn),Veg Tandoori Starters,Afghani Aloo,170,
Apn),Veg Tandoori Starters,Veg Hara Bhara Kabab,110,
Apn),Veg Tandoori Starters,Veg Platter,300,
Apn),Non Veg Starters,Chicken Lollipop,230,
Apn),Non Veg Starters,Chicken Fry,220,
Apn),Non Veg Starters,Chilly Chicken,230,
Apn),Non Veg Starters,Lemon Chicken,230,
Apn),Non Veg Starters,Hong kong Chicken,260,
Apn),Non Veg Tandoori Starters,Tandoori Chicken Half,190,
Apn),Non Veg Tandoori Starters,Tandoori Chicken Full,340,
Apn),Non Veg Tandoori Starters,Garlic Tandoori Chicken Half,190,
Apn),Non Veg Tandoori Starters,Garlic Tandoori Chicken Full,340,
Apn),Non Veg Tandoori Starters,Chicken Kali Mirch Half,220,
Apn),Non Veg Tandoori Starters,Chicken Kali Mirch Full,380,
Apn),Non Veg Tandoori Starters,Boti Chicken [20 Pieces],300,
Apn),Non Veg Tandoori Starters,Banjara Chicken [20 Pieces],320,
Apn),Non Veg Tandoori Starters,Chicken Platter [20 Pieces],520,
Apn),Non Veg Tandoori Starters,Boneless Chicken Tikka [8 Pieces],220,
Apn),Non Veg Tandoori Starters,Boneless Murg Malai Tikka [8 Pieces],230,
Apn),Non Veg Tandoori Starters,Boneless Peshawari Chicken Tikka [8 Pieces],240,
Apn),Non Veg Tandoori Starters,Boneless Chicken Afghani Tikka [8 Pieces],260,
Apn),Non Veg Tandoori Starters,Boneless Fish Tikka [8 Pieces],220,
Apn),Non Veg Tandoori Starters,Boneless Fish Lashsuni Tikka [8 Pieces],230,
Apn),Chinese Veg Starters,Veg Manchurian,110,
Apn),Chinese Veg Starters,Crispy Veg,135,
Apn),Chinese Veg Starters,Paneer 65,145,
Apn),Chinese Veg Starters,Chilly Paneer,150,
Apn),Chinese Veg Starters,Akka Paneer,160,
Apn),Dal,Dal Fry,90,
Apn),Dal,Dal Tadka,120,
Apn),Dal,Dal Makhni,140,
Apn),Paneer Main Course,Paneer Butter Masala,140,
Apn),Paneer Main Course,Kadai Paneer,140,
Apn),Paneer Main Course,Paneer do Pyaza,140,
Apn),Paneer Main Course,Shahi Paneer,150,
Apn),Paneer Main Course,Paneer Tikka Masala,160,
Apn),Paneer Main Course,Paneer Pasanda,160,
Apn),Paneer Main Course,Paneer Lababdar,170,
Apn),Paneer Main Course,Paneer Kolhapuri,170,
Apn),Paneer Main Course,Kaju Masala,180,
Apn),Paneer Main Course,Kaju Curry,190,
Apn),Kofta Main Course,Veg Kofta,135,
Apn),Kofta Main Course,Palak Kofta,145,
Apn),Kofta Main Course,Malai Kofta,155,
Apn),Seasonal Veg Main Course,Aloo Gobi,130,
Apn),Seasonal Veg Main Course,Dum Aloo,140,
Apn),Seasonal Veg Main Course,Aloo do Pyaza,140,
Apn),Seasonal Veg Main Course,Sev Tamatar,110,
